date,opening_stock,received_stock,closing_stock,reorder_level,lead_time_days,date_year,date_month,date_day,date_quarter,year,month,day,weekday,week,quarter,is_weekend
2024-07-01,583.9782608695652,130.1086956521739,525.804347826087,150.0,6.434782608695652,2024.0,3.9130434782608696,1.0,1.6956521739130437,2024,7,1,Monday,27,3,False
2024-04-02,622.12,158.16,469.84,150.0,6.68,2024.0,2.56,2.0,1.28,2024,4,2,Tuesday,14,2,False
2024-11-02,659.1333333333333,171.06666666666666,618.3333333333334,150.0,6.377777777777778,2024.0,7.955555555555556,2.0,3.0,2024,11,2,Saturday,44,4,True
2024-03-03,572.7894736842105,145.78947368421052,612.7368421052631,150.0,5.7368421052631575,2024.0,2.0,3.0,1.0,2024,3,3,Sunday,9,1,True
2024-10-03,586.2142857142857,154.8095238095238,611.1190476190476,150.0,5.285714285714286,2024.0,7.0,3.0,2.7142857142857144,2024,10,3,Thursday,40,4,False
2024-07-04,535.3333333333334,128.88888888888889,563.5555555555555,150.0,6.377777777777778,2024.0,3.8,4.0,1.6666666666666667,2024,7,4,Thursday,27,3,False
2024-05-05,579.2727272727273,156.27272727272728,613.7575757575758,150.0,5.757575757575758,2024.0,2.909090909090909,5.0,1.3636363636363635,2024,5,5,Sunday,18,2,True
2024-12-05,579.6444444444444,145.37777777777777,592.3777777777777,150.0,7.0,2024.0,9.066666666666666,5.0,3.2888888888888888,2024,12,5,Thursday,49,4,False
2024-02-06,640.5384615384615,131.92307692307693,497.5384615384616,150.0,5.615384615384615,2024.0,1.4615384615384617,6.0,1.0,2024,2,6,Tuesday,6,1,False
2024-09-06,600.2790697674419,148.48837209302326,596.953488372093,150.0,5.976744186046512,2024.0,6.046511627906977,6.0,2.302325581395349,2024,9,6,Friday,36,3,False
2024-07-07,597.4897959183673,150.81632653061226,540.5918367346939,150.0,6.163265306122449,2024.0,4.142857142857143,7.0,1.7551020408163265,2024,7,7,Sunday,27,3,True
2024-04-08,610.7307692307693,156.30769230769232,604.0769230769231,150.0,6.384615384615385,2024.0,2.5384615384615383,8.0,1.2692307692307692,2024,4,8,Monday,15,2,False
2024-11-08,642.8837209302326,138.6279069767442,525.8604651162791,150.0,5.976744186046512,2024.0,8.023255813953488,8.0,3.0,2024,11,8,Friday,45,4,False
2024-01-09,451.8333333333333,191.66666666666663,529.6666666666666,150.0,5.0,2024.0,1.0,9.0,1.0,2024,1,9,Tuesday,2,1,False
2024-08-09,615.0,165.7674418604651,606.3720930232558,150.0,5.976744186046512,2024.0,4.976744186046512,9.0,2.0,2024,8,9,Friday,32,3,False
2024-06-10,582.975,173.3,592.175,150.0,5.725,2024.0,3.45,10.0,1.5,2024,6,10,Monday,24,2,False
2024-03-11,670.0,146.0,529.7894736842105,150.0,6.2105263157894735,2024.0,1.947368421052632,11.0,1.0,2024,3,11,Monday,11,1,False
2024-10-11,648.6818181818181,139.8409090909091,561.6818181818181,150.0,5.795454545454546,2024.0,7.0,11.0,2.7045454545454546,2024,10,11,Friday,41,4,False
2024-01-12,635.8333333333334,157.66666666666666,727.1666666666666,150.0,5.833333333333333,2024.0,1.0,12.0,1.0,2024,1,12,Friday,2,1,False
2024-08-12,608.6744186046511,159.13953488372093,543.7674418604652,150.0,6.348837209302325,2024.0,5.023255813953488,12.0,2.0,2024,8,12,Monday,33,3,False
