delivery_date,delay_days,supplier_rating,transportation_cost,delivery_date_year,delivery_date_month,delivery_date_day,delivery_date_quarter,expected_date_year,expected_date_month,expected_date_day,expected_date_quarter,year,month,day,weekday,week,quarter,is_weekend
2024-07-01,3.0588235294117645,4.235294117647059,2960.705882352941,2024.0,4.588235294117647,1.0,1.8823529411764703,2024.0,3.941176470588236,17.705882352941178,1.7058823529411764,2024,7,1,Monday,27,3,False
2024-04-02,3.8333333333333335,3.591666666666667,3260.333333333333,2024.0,2.6666666666666665,2.0,1.0,2024.0,2.0,18.166666666666668,1.0,2024,4,2,Tuesday,14,2,False
2024-11-02,3.2,3.979333333333333,2428.4666666666667,2024.0,9.466666666666669,2.0,3.6,2024.0,8.933333333333334,15.666666666666666,3.4,2024,11,2,Saturday,44,4,True
2024-03-03,1.6666666666666667,3.9266666666666654,3172.333333333333,2024.0,1.6666666666666667,3.0,1.0,2024.0,1.5,6.5,1.0,2024,3,3,Sunday,9,1,True
2024-10-03,2.090909090909091,3.879090909090909,2257.681818181818,2024.0,6.181818181818182,3.0,2.409090909090909,2024.0,5.818181818181818,11.954545454545457,2.1818181818181817,2024,10,3,Thursday,40,4,False
2024-07-04,2.4814814814814814,4.091851851851852,2918.296296296296,2024.0,3.851851851851852,4.0,1.7407407407407407,2024.0,3.6296296296296298,8.407407407407407,1.5555555555555556,2024,7,4,Thursday,27,3,False
2024-05-05,3.076923076923077,3.813846153846154,2659.846153846154,2024.0,2.3846153846153846,5.0,1.0769230769230769,2024.0,2.076923076923077,11.23076923076923,1.0769230769230769,2024,5,5,Sunday,18,2,True
2024-12-05,3.6666666666666665,4.2,2738.133333333333,2024.0,9.2,5.0,3.466666666666667,2024.0,8.6,19.4,3.2666666666666666,2024,12,5,Thursday,49,4,False
2024-02-06,2.2857142857142856,4.038571428571428,2742.285714285714,2024.0,1.4285714285714286,6.0,1.0,2024.0,1.4285714285714286,4.428571428571429,1.0,2024,2,6,Tuesday,6,1,False
2024-09-06,3.555555555555556,3.758888888888889,2247.1666666666665,2024.0,6.611111111111111,6.0,2.4444444444444446,2024.0,6.388888888888889,9.5,2.2777777777777777,2024,9,6,Friday,36,3,False
2024-07-07,4.055555555555555,3.889444444444445,2509.777777777778,2024.0,3.2222222222222223,7.0,1.4444444444444444,2024.0,3.0,10.444444444444445,1.3888888888888888,2024,7,7,Sunday,27,3,True
2024-04-08,4.8,4.01,3595.3,2024.0,2.7,8.0,1.2,2024.0,2.7,3.4,1.2,2024,4,8,Monday,15,2,False
2024-11-08,3.869565217391304,3.981739130434783,2399.391304347826,2024.0,9.521739130434783,8.0,3.5217391304347827,2024.0,9.521739130434783,4.521739130434782,3.5217391304347827,2024,11,8,Friday,45,4,False
2024-01-09,2.5,3.9,1901.25,2024.0,1.0,9.0,1.0,2024.0,1.0,6.5,1.0,2024,1,9,Tuesday,2,1,False
2024-08-09,3.611111111111111,3.822777777777778,3128.9444444444443,2024.0,4.0,9.0,1.6111111111111112,2024.0,4.0,5.444444444444445,1.6111111111111112,2024,8,9,Friday,32,3,False
2024-06-10,3.4444444444444446,4.266666666666667,2020.3333333333333,2024.0,2.888888888888889,10.0,1.4444444444444444,2024.0,2.888888888888889,7.555555555555555,1.4444444444444444,2024,6,10,Monday,24,2,False
2024-03-11,3.75,3.69875,1850.0,2024.0,1.875,11.0,1.0,2024.0,1.875,7.25,1.0,2024,3,11,Monday,11,1,False
2024-10-11,3.0,4.025714285714286,3076.0714285714284,2024.0,6.857142857142857,11.0,2.5,2024.0,6.857142857142857,8.285714285714286,2.5,2024,10,11,Friday,41,4,False
2024-01-12,3.5,4.9,2398.0,2024.0,1.0,12.0,1.0,2024.0,1.0,8.5,1.0,2024,1,12,Friday,2,1,False
2024-08-12,3.5,4.031428571428571,2980.428571428572,2024.0,4.928571428571429,12.0,1.9285714285714288,2024.0,4.928571428571429,8.5,1.9285714285714288,2024,8,12,Monday,33,3,False
2025-05-01,5.0,4.2,3331.333333333333,2025.0,1.0,1.0,1.0,2024.0,12.0,27.0,4.0,2025,5,1,Thursday,18,2,False
2025-12-01,5.0,4.246153846153846,3120.6153846153848,2025.0,1.0,1.2307692307692308,1.0,2024.0,12.0,27.23076923076923,4.0,2025,12,1,Monday,49,4,False
2025-02-02,5.0,4.384615384615385,2488.4615384615386,2025.0,1.0,1.9230769230769231,1.0,2024.0,12.0,27.923076923076923,4.0,2025,2,2,Sunday,5,1,True
2025-09-02,5.0,4.430769230769231,2277.74358974359,2025.0,1.0,2.153846153846154,1.0,2024.0,12.0,28.153846153846157,4.0,2025,9,2,Tuesday,36,3,False
2025-02-03,5.0,4.569230769230769,1645.5897435897436,2025.0,1.0,2.8461538461538463,1.0,2024.0,12.0,28.846153846153847,4.0,2025,2,3,Monday,6,1,False
2025-09-03,5.0,4.615384615384615,1434.871794871795,2025.0,1.0,3.076923076923077,1.0,2024.0,12.0,29.07692307692308,4.0,2025,9,3,Wednesday,36,3,False
2025-06-04,5.0,4.8,592.0,2025.0,1.0,4.0,1.0,2024.0,12.0,30.0,4.0,2025,6,4,Wednesday,23,2,False
2025-04-05,5.6,3.97,3982.6,2025.0,1.0,5.0,1.0,2024.0,12.0,29.8,4.0,2025,4,5,Saturday,14,2,True
