date,product_id,warehouse,opening_stock,received_stock,closing_stock,reorder_level,lead_time_days,date_year,date_month,date_day,date_weekday,date_quarter
2024-01-01,P001,Bengaluru,319,44,874,150,6,2024,1,1,Monday,1
2024-01-01,P002,Mumbai,828,171,110,150,10,2024,1,1,Monday,1
2024-01-01,P003,Delhi,415,226,221,150,7,2024,1,1,Monday,1
2024-01-01,P004,Kolkata,557,61,408,150,2,2024,1,1,Monday,1
2024-01-01,P005,Mumbai,719,80,887,150,8,2024,1,1,Monday,1
2024-01-01,P006,Hyderabad,285,179,400,150,7,2024,1,1,Monday,1
2024-01-02,P001,Bengaluru,475,117,522,150,7,2024,1,2,Tuesday,1
2024-01-02,P002,Delhi,956,175,354,150,2,2024,1,2,Tuesday,1
2024-01-02,P003,Bengaluru,316,129,254,150,9,2024,1,2,Tuesday,1
2024-01-02,P004,Hyderabad,256,124,322,150,10,2024,1,2,Tuesday,1
2024-01-02,P005,Delhi,501,144,402,150,4,2024,1,2,Tuesday,1
2024-01-02,P006,Hyderabad,587,250,336,150,8,2024,1,2,Tuesday,1
2024-01-03,P001,Bengaluru,417,210,461,150,8,2024,1,3,Wednesday,1
2024-01-03,P002,Bengaluru,501,217,166,150,8,2024,1,3,Wednesday,1
2024-01-03,P003,Kolkata,247,6,916,150,2,2024,1,3,Wednesday,1
2024-01-03,P004,Mumbai,948,266,517,150,4,2024,1,3,Wednesday,1
2024-01-03,P005,Mumbai,772,213,503,150,6,2024,1,3,Wednesday,1
2024-01-03,P006,Kolkata,709,96,985,150,4,2024,1,3,Wednesday,1
2024-01-04,P001,Hyderabad,462,70,251,150,10,2024,1,4,Thursday,1
2024-01-04,P002,Mumbai,750,26,692,150,10,2024,1,4,Thursday,1
2024-01-04,P003,Mumbai,283,44,656,150,6,2024,1,4,Thursday,1
2024-01-04,P004,Kolkata,849,115,503,150,8,2024,1,4,Thursday,1
2024-01-04,P005,Kolkata,327,197,726,150,8,2024,1,4,Thursday,1
2024-01-04,P006,Kolkata,844,242,467,150,5,2024,1,4,Thursday,1
2024-01-05,P001,Mumbai,276,144,599,150,10,2024,1,5,Friday,1
2024-01-05,P002,Delhi,639,6,692,150,4,2024,1,5,Friday,1
2024-01-05,P003,Hyderabad,404,36,961,150,6,2024,1,5,Friday,1
2024-01-05,P004,Hyderabad,505,125,650,150,7,2024,1,5,Friday,1
2024-01-05,P005,Delhi,506,190,758,150,4,2024,1,5,Friday,1
2024-01-05,P006,Kolkata,868,8,399,150,6,2024,1,5,Friday,1
2024-01-06,P001,Delhi,642,101,391,150,6,2024,1,6,Saturday,1
2024-01-06,P002,Hyderabad,933,256,438,150,3,2024,1,6,Saturday,1
2024-01-06,P003,Kolkata,828,73,871,150,3,2024,1,6,Saturday,1
2024-01-06,P004,Mumbai,648,59,329,150,7,2024,1,6,Saturday,1
2024-01-06,P005,Bengaluru,425,273,413,150,7,2024,1,6,Saturday,1
2024-01-06,P006,Kolkata,587,204,444,150,5,2024,1,6,Saturday,1
2024-01-07,P001,Bengaluru,446,99,903,150,5,2024,1,7,Sunday,1
2024-01-07,P002,Hyderabad,469,41,908,150,3,2024,1,7,Sunday,1
2024-01-07,P003,Bengaluru,963,219,974,150,8,2024,1,7,Sunday,1
2024-01-07,P004,Kolkata,674,167,822,150,6,2024,1,7,Sunday,1
2024-01-07,P005,Hyderabad,850,291,770,150,8,2024,1,7,Sunday,1
2024-01-07,P006,Hyderabad,288,239,458,150,5,2024,1,7,Sunday,1
2024-01-08,P001,Bengaluru,774,20,525,150,3,2024,1,8,Monday,1
2024-01-08,P002,Delhi,999,44,580,150,7,2024,1,8,Monday,1
2024-01-08,P003,Bengaluru,645,154,560,150,9,2024,1,8,Monday,1
2024-01-08,P004,Kolkata,382,231,831,150,7,2024,1,8,Monday,1
2024-01-08,P005,Hyderabad,733,225,837,150,10,2024,1,8,Monday,1
