order_id,date,product_id,product_name,category,warehouse,region,units_sold,unit_price,revenue,promotion,holiday,date_year,date_month,date_day,date_weekday,date_quarter
1,2024-01-01,P001,Laptop,Electronics,Mumbai,West,5,60000,300000,No,No,2024,1,1,Monday,1
2,2024-01-01,P002,Phone,Electronics,Hyderabad,South,79,30000,2370000,Yes,No,2024,1,1,Monday,1
3,2024-01-01,P003,Chair,Furniture,Hyderabad,South,22,5000,110000,No,No,2024,1,1,Monday,1
4,2024-01-01,P004,Rice,Grocery,Delhi,North,34,60,2040,No,No,2024,1,1,Monday,1
5,2024-01-01,P005,Tshirt,Clothing,Delhi,North,35,800,28000,No,No,2024,1,1,Monday,1
6,2024-01-01,P006,Mixer,Home Appliances,Hyderabad,South,34,3500,119000,No,No,2024,1,1,Monday,1
7,2024-01-02,P001,Laptop,Electronics,Kolkata,East,9,60000,540000,No,No,2024,1,2,Tuesday,1
8,2024-01-02,P002,Phone,Electronics,Mumbai,West,5,30000,150000,No,No,2024,1,2,Tuesday,1
9,2024-01-02,P003,Chair,Furniture,Kolkata,East,18,5000,90000,No,No,2024,1,2,Tuesday,1
10,2024-01-02,P004,Rice,Grocery,Kolkata,East,86,60,5160,Yes,No,2024,1,2,Tuesday,1
11,2024-01-02,P005,Tshirt,Clothing,Mumbai,West,24,800,19200,No,No,2024,1,2,Tuesday,1
12,2024-01-02,P006,Mixer,Home Appliances,Bengaluru,South,30,3500,105000,No,No,2024,1,2,Tuesday,1
13,2024-01-03,P001,Laptop,Electronics,Delhi,North,31,60000,1860000,No,No,2024,1,3,Wednesday,1
14,2024-01-03,P002,Phone,Electronics,Delhi,North,20,30000,600000,No,No,2024,1,3,Wednesday,1
15,2024-01-03,P003,Chair,Furniture,Hyderabad,South,33,5000,165000,No,No,2024,1,3,Wednesday,1
16,2024-01-03,P004,Rice,Grocery,Mumbai,West,33,60,1980,No,No,2024,1,3,Wednesday,1
17,2024-01-03,P005,Tshirt,Clothing,Kolkata,East,19,800,15200,No,No,2024,1,3,Wednesday,1
18,2024-01-03,P006,Mixer,Home Appliances,Mumbai,West,34,3500,119000,No,No,2024,1,3,Wednesday,1
19,2024-01-04,P001,Laptop,Electronics,Hyderabad,South,24,60000,1440000,No,No,2024,1,4,Thursday,1
20,2024-01-04,P002,Phone,Electronics,Kolkata,East,12,30000,360000,No,No,2024,1,4,Thursday,1
21,2024-01-04,P003,Chair,Furniture,Delhi,North,19,5000,95000,No,No,2024,1,4,Thursday,1
22,2024-01-04,P004,Rice,Grocery,Hyderabad,South,39,60,2340,No,No,2024,1,4,Thursday,1
23,2024-01-04,P005,Tshirt,Clothing,Delhi,North,24,800,19200,No,No,2024,1,4,Thursday,1
24,2024-01-04,P006,Mixer,Home Appliances,Hyderabad,South,16,3500,56000,No,No,2024,1,4,Thursday,1
25,2024-01-05,P001,Laptop,Electronics,Mumbai,West,9,60000,540000,No,No,2024,1,5,Friday,1
26,2024-01-05,P002,Phone,Electronics,Hyderabad,South,14,30000,420000,No,No,2024,1,5,Friday,1
27,2024-01-05,P003,Chair,Furniture,Mumbai,West,17,5000,85000,No,No,2024,1,5,Friday,1
28,2024-01-05,P004,Rice,Grocery,Delhi,North,17,60,1020,No,No,2024,1,5,Friday,1
29,2024-01-05,P005,Tshirt,Clothing,Delhi,North,31,800,24800,No,No,2024,1,5,Friday,1
30,2024-01-05,P006,Mixer,Home Appliances,Kolkata,East,28,3500,98000,No,No,2024,1,5,Friday,1
31,2024-01-06,P001,Laptop,Electronics,Delhi,North,10,60000,600000,No,No,2024,1,6,Saturday,1
32,2024-01-06,P002,Phone,Electronics,Mumbai,West,51,30000,1530000,Yes,No,2024,1,6,Saturday,1
33,2024-01-06,P003,Chair,Furniture,Kolkata,East,15,5000,75000,No,No,2024,1,6,Saturday,1
34,2024-01-06,P004,Rice,Grocery,Kolkata,East,65,60,3900,Yes,No,2024,1,6,Saturday,1
35,2024-01-06,P005,Tshirt,Clothing,Hyderabad,South,33,800,26400,No,No,2024,1,6,Saturday,1
36,2024-01-06,P006,Mixer,Home Appliances,Hyderabad,South,10,3500,35000,No,No,2024,1,6,Saturday,1
37,2024-01-07,P001,Laptop,Electronics,Hyderabad,South,19,60000,1140000,No,No,2024,1,7,Sunday,1
38,2024-01-07,P002,Phone,Electronics,Delhi,North,35,30000,1050000,No,No,2024,1,7,Sunday,1
39,2024-01-07,P003,Chair,Furniture,Mumbai,West,12,5000,60000,No,No,2024,1,7,Sunday,1
40,2024-01-07,P004,Rice,Grocery,Hyderabad,South,10,60,600,No,No,2024,1,7,Sunday,1
41,2024-01-07,P005,Tshirt,Clothing,Kolkata,East,37,800,29600,No,No,2024,1,7,Sunday,1
42,2024-01-07,P006,Mixer,Home Appliances,Kolkata,East,99,3500,346500,Yes,No,2024,1,7,Sunday,1
43,2024-01-08,P001,Laptop,Electronics,Delhi,North,80,60000,4800000,Yes,No,2024,1,8,Monday,1
44,2024-01-08,P002,Phone,Electronics,Mumbai,West,30,30000,900000,No,No,2024,1,8,Monday,1
45,2024-01-08,P003,Chair,Furniture,Bengaluru,South,40,5000,200000,No,No,2024,1,8,Monday,1
46,2024-01-08,P004,Rice,Grocery,Bengaluru,South,21,60,1260,No,No,2024,1,8,Monday,1
47,2024-01-08,P005,Tshirt,Clothing,Bengaluru,South,5,800,4000,No,No,2024,1,8,Monday,1
48,2024-01-08,P006,Mixer,Home Appliances,Bengaluru,South,32,3500,112000,No,No,2024,1,8,Monday,1
49,2024-01-09,P001,Laptop,Electronics,Delhi,North,25,60000,1500000,No,No,2024,1,9,Tuesday,1
50,2024-01-09,P002,Phone,Electronics,Kolkata,East,6,30000,180000,No,No,2024,1,9,Tuesday,1
51,2024-01-09,P003,Chair,Furniture,Mumbai,West,11,5000,55000,No,No,2024,1,9,Tuesday,1
52,2024-01-09,P004,Rice,Grocery,Mumbai,West,26,60,1560,No,No,2024,1,9,Tuesday,1
53,2024-01-09,P005,Tshirt,Clothing,Bengaluru,South,13,800,10400,No,No,2024,1,9,Tuesday,1
54,2024-01-09,P006,Mixer,Home Appliances,Kolkata,East,16,3500,56000,No,No,2024,1,9,Tuesday,1
55,2024-01-10,P001,Laptop,Electronics,Kolkata,East,15,60000,900000,No,No,2024,1,10,Wednesday,1
