supplier_id,supplier_name,product_id,delivery_date,expected_date,delay_days,supplier_rating,transportation_cost,delivery_date_year,delivery_date_month,delivery_date_day,delivery_date_weekday,delivery_date_quarter,expected_date_year,expected_date_month,expected_date_day,expected_date_weekday,expected_date_quarter
S004,Supplier 4,P004,2024-08-02,2024-08-01,1,4.1,597,2024.0,8.0,2.0,Friday,3.0,2024,8,1,Thursday,3
S001,Supplier 1,P002,2024-02-21,2024-02-21,0,3.2,667,2024.0,2.0,21.0,Wednesday,1.0,2024,2,21,Wednesday,1
S002,Supplier 2,P005,2024-03-24,2024-03-24,3,3.2,1528,2024.0,3.0,24.0,Sunday,1.0,2024,3,24,Sunday,1
S001,Supplier 1,P004,2024-02-13,2024-02-13,3,3.5,1642,2024.0,2.0,13.0,Tuesday,1.0,2024,2,13,Tuesday,1
S004,Supplier 4,P005,2024-05-09,2024-05-07,2,3.0,3787,2024.0,5.0,9.0,Thursday,2.0,2024,5,7,Tuesday,2
S001,Supplier 1,P004,2024-03-02,2024-03-01,1,4.8,4485,2024.0,3.0,2.0,Saturday,1.0,2024,3,1,Friday,1
S002,Supplier 2,P006,2025-01-05,2024-12-30,6,3.6,4860,2025.0,1.0,5.0,Sunday,1.0,2024,12,30,Monday,4
S003,Supplier 3,P003,2024-10-10,2024-10-08,2,3.6,1560,2024.0,10.0,10.0,Thursday,4.0,2024,10,8,Tuesday,4
S001,Supplier 1,P002,2024-11-05,2024-11-02,3,3.4,3913,2024.0,11.0,5.0,Tuesday,4.0,2024,11,2,Saturday,4
S004,Supplier 4,P001,2024-05-01,2024-04-26,5,4.4,3840,2024.0,5.0,1.0,Wednesday,2.0,2024,4,26,Friday,2
S002,Supplier 2,P001,2024-01-16,2024-01-15,1,3.1,2814,2024.0,1.0,16.0,Tuesday,1.0,2024,1,15,Monday,1
S004,Supplier 4,P006,2024-12-11,2024-12-08,3,4.9,1445,2024.0,12.0,11.0,Wednesday,4.0,2024,12,8,Sunday,4
S001,Supplier 1,P002,2024-11-08,2024-11-07,1,4.8,3237,2024.0,11.0,8.0,Friday,4.0,2024,11,7,Thursday,4
S001,Supplier 1,P001,2024-08-23,2024-08-23,0,3.7,2601,2024.0,8.0,23.0,Friday,3.0,2024,8,23,Friday,3
S003,Supplier 3,P002,2024-05-26,2024-05-22,4,4.0,2465,2024.0,5.0,26.0,Sunday,2.0,2024,5,22,Wednesday,2
S004,Supplier 4,P003,2024-07-06,2024-06-30,6,3.0,714,2024.0,7.0,6.0,Saturday,3.0,2024,6,30,Sunday,2
S001,Supplier 1,P006,2024-04-26,2024-04-26,0,4.2,3778,2024.0,4.0,26.0,Friday,2.0,2024,4,26,Friday,2
S004,Supplier 4,P002,2024-01-16,2024-01-14,2,3.0,2256,2024.0,1.0,16.0,Tuesday,1.0,2024,1,14,Sunday,1
S001,Supplier 1,P004,2024-08-17,2024-08-17,3,4.3,2509,2024.0,8.0,17.0,Saturday,3.0,2024,8,17,Saturday,3
S003,Supplier 3,P006,2024-05-03,2024-05-03,0,4.8,914,2024.0,5.0,3.0,Friday,2.0,2024,5,3,Friday,2
S002,Supplier 2,P002,2024-02-12,2024-02-10,2,4.6,1546,2024.0,2.0,12.0,Monday,1.0,2024,2,10,Saturday,1
S003,Supplier 3,P005,2024-04-24,2024-04-20,4,4.0,2762,2024.0,4.0,24.0,Wednesday,2.0,2024,4,20,Saturday,2
S001,Supplier 1,P003,2025-01-04,2024-12-30,5,4.8,592,2025.0,1.0,4.0,Saturday,1.0,2024,12,30,Monday,4
S003,Supplier 3,P006,2024-07-26,2024-07-26,3,3.5,2013,2024.0,7.0,26.0,Friday,3.0,2024,7,26,Friday,3
S003,Supplier 3,P006,2024-10-26,2024-10-20,6,4.5,1171,2024.0,10.0,26.0,Saturday,4.0,2024,10,20,Sunday,4
S002,Supplier 2,P006,2024-11-12,2024-11-12,3,4.4,2646,2024.0,11.0,12.0,Tuesday,4.0,2024,11,12,Tuesday,4
S003,Supplier 3,P003,2024-01-09,2024-01-05,4,3.9,2714,2024.0,1.0,9.0,Tuesday,1.0,2024,1,5,Friday,1
S004,Supplier 4,P001,2024-11-07,2024-11-03,4,4.8,1028,2024.0,11.0,7.0,Thursday,4.0,2024,11,3,Sunday,4
S002,Supplier 2,P002,2024-06-08,2024-06-08,3,4.6,929,2024.0,6.0,8.0,Saturday,2.0,2024,6,8,Saturday,2
S001,Supplier 1,P004,2024-02-12,2024-02-12,0,4.8,3538,2024.0,2.0,12.0,Monday,1.0,2024,2,12,Monday,1
S003,Supplier 3,P003,2024-03-25,2024-03-25,3,4.0,2385,2024.0,3.0,25.0,Monday,1.0,2024,3,25,Monday,1
S004,Supplier 4,P002,2024-11-13,2024-11-06,7,4.0,1058,2024.0,11.0,13.0,Wednesday,4.0,2024,11,6,Wednesday,4
S002,Supplier 2,P004,2024-06-18,2024-06-15,3,3.1,4186,2024.0,6.0,18.0,Tuesday,2.0,2024,6,15,Saturday,2
S002,Supplier 2,P001,2024-10-21,2024-10-21,3,4.0,3460,2024.0,10.0,21.0,Monday,4.0,2024,10,21,Monday,4
S003,Supplier 3,P001,2024-09-23,2024-09-17,6,4.8,2520,2024.0,9.0,23.0,Monday,3.0,2024,9,17,Tuesday,3
S001,Supplier 1,P005,2024-09-07,2024-09-07,0,4.7,4311,2024.0,9.0,7.0,Saturday,3.0,2024,9,7,Saturday,3
S002,Supplier 2,P001,2024-07-10,2024-07-09,1,3.3,1729,2024.0,7.0,10.0,Wednesday,3.0,2024,7,9,Tuesday,3
S002,Supplier 2,P005,2024-02-04,2024-02-02,2,4.3,1794,2024.0,2.0,4.0,Sunday,1.0,2024,2,2,Friday,1
S001,Supplier 1,P002,2024-09-27,2024-09-20,7,3.6,4444,2024.0,9.0,27.0,Friday,3.0,2024,9,20,Friday,3
S002,Supplier 2,P004,2024-05-25,2024-05-21,4,3.3,2774,2024.0,5.0,25.0,Saturday,2.0,2024,5,21,Tuesday,2
S001,Supplier 1,P003,2024-11-21,2024-11-14,7,4.7,1304,2024.0,11.0,21.0,Thursday,4.0,2024,11,14,Thursday,4
S003,Supplier 3,P005,2024-05-21,2024-05-19,2,4.9,3761,2024.0,5.0,21.0,Tuesday,2.0,2024,5,19,Sunday,2
S004,Supplier 4,P002,2024-04-30,2024-04-29,1,3.1,3749,2024.0,4.0,30.0,Tuesday,2.0,2024,4,29,Monday,2
S002,Supplier 2,P003,2024-12-08,2024-12-04,4,3.9,2494,2024.0,12.0,8.0,Sunday,4.0,2024,12,4,Wednesday,4
S002,Supplier 2,P004,2024-04-07,2024-04-07,3,4.7,1194,2024.0,4.0,7.0,Sunday,2.0,2024,4,7,Sunday,2
S001,Supplier 1,P002,2024-10-31,2024-10-25,6,3.2,685,2024.0,10.0,31.0,Thursday,4.0,2024,10,25,Friday,4
S003,Supplier 3,P003,2024-08-16,2024-08-11,5,3.7,1287,2024.0,8.0,16.0,Friday,3.0,2024,8,11,Sunday,3
S001,Supplier 1,P006,2024-02-09,2024-02-08,1,3.4,3327,2024.0,2.0,9.0,Friday,1.0,2024,2,8,Thursday,1
S003,Supplier 3,P005,2024-12-09,2024-12-07,2,3.5,3368,2024.0,12.0,9.0,Monday,4.0,2024,12,7,Saturday,4
S002,Supplier 2,P002,2024-04-12,2024-04-08,4,3.9,4184,2024.0,4.0,12.0,Friday,2.0,2024,4,8,Monday,2
S001,Supplier 1,P004,2024-01-19,2024-01-12,7,3.5,3593,2024.0,1.0,19.0,Friday,1.0,2024,1,12,Friday,1
S001,Supplier 1,P005,2024-07-05,2024-06-28,7,4.0,4407,2024.0,7.0,5.0,Friday,3.0,2024,6,28,Friday,2
S002,Supplier 2,P006,2024-11-11,2024-11-11,3,3.5,3477,2024.0,11.0,11.0,Monday,4.0,2024,11,11,Monday,4
S002,Supplier 2,P003,2024-10-26,2024-10-26,0,4.8,4228,2024.0,10.0,26.0,Saturday,4.0,2024,10,26,Saturday,4
S001,Supplier 1,P004,2024-04-06,2024-03-30,7,3.1,996,2024.0,4.0,6.0,Saturday,2.0,2024,3,30,Saturday,1
S004,Supplier 4,P004,2024-01-27,2024-01-27,3,4.6,4953,2024.0,1.0,27.0,Saturday,1.0,2024,1,27,Saturday,1
S002,Supplier 2,P001,2024-01-22,2024-01-17,5,3.6,2384,2024.0,1.0,22.0,Monday,1.0,2024,1,17,Wednesday,1
