order_id,date,product_id,product_name,category,warehouse,region,units_sold,unit_price,revenue,promotion,holiday,date_year,date_month,date_day,date_weekday,date_quarter,z_score,anomaly
10,2024-01-02,P004,Rice,Grocery,Kolkata,East,86,60,5160,Yes,No,2024,1,2,Tuesday,1,3.266519361634661,1
42,2024-01-07,P006,Mixer,Home Appliances,Kolkata,East,99,3500,346500,Yes,No,2024,1,7,Sunday,1,3.986735283102332,1
59,2024-01-10,P005,Tshirt,Clothing,Delhi,North,94,800,75200,Yes,No,2024,1,10,Wednesday,1,3.7097291594609203,1
189,2024-02-01,P003,Chair,Furniture,Hyderabad,South,83,5000,415000,Yes,No,2024,2,1,Thursday,1,3.1003156874498137,1
264,2024-02-13,P006,Mixer,Home Appliances,Mumbai,West,85,3500,297500,Yes,No,2024,2,13,Tuesday,1,3.2111181369063786,1
547,2024-04-01,P001,Laptop,Electronics,Hyderabad,South,95,60000,5700000,Yes,No,2024,4,1,Monday,2,3.7651303841892028,1
736,2024-05-02,P004,Rice,Grocery,Mumbai,West,82,60,4920,Yes,No,2024,5,2,Thursday,2,3.044914462721531,1
781,2024-05-10,P001,Laptop,Electronics,Mumbai,West,84,60000,5040000,Yes,No,2024,5,10,Friday,2,3.155716912178096,1
787,2024-05-11,P001,Laptop,Electronics,Kolkata,East,90,60000,5400000,Yes,No,2024,5,11,Saturday,2,3.4881242605477905,1
796,2024-05-12,P004,Rice,Grocery,Mumbai,West,88,60,5280,Yes,No,2024,5,12,Sunday,2,3.377321811091226,1
801,2024-05-13,P003,Chair,Furniture,Mumbai,West,84,5000,420000,Yes,No,2024,5,13,Monday,2,3.155716912178096,1
833,2024-05-18,P005,Tshirt,Clothing,Hyderabad,South,86,800,68800,Yes,No,2024,5,18,Saturday,2,3.266519361634661,1
878,2024-05-26,P002,Phone,Electronics,Delhi,North,83,30000,2490000,Yes,No,2024,5,26,Sunday,2,3.1003156874498137,1
943,2024-06-06,P001,Laptop,Electronics,Bengaluru,South,88,60000,5280000,Yes,No,2024,6,6,Thursday,2,3.377321811091226,1
1029,2024-06-20,P003,Chair,Furniture,Kolkata,East,83,5000,415000,Yes,No,2024,6,20,Thursday,2,3.1003156874498137,1
1046,2024-06-23,P002,Phone,Electronics,Mumbai,West,87,30000,2610000,Yes,No,2024,6,23,Sunday,2,3.3219205863629435,1
1145,2024-07-09,P005,Tshirt,Clothing,Kolkata,East,83,800,66400,Yes,No,2024,7,9,Tuesday,3,3.1003156874498137,1
1215,2024-07-21,P003,Chair,Furniture,Mumbai,West,90,5000,450000,Yes,No,2024,7,21,Sunday,3,3.4881242605477905,1
1227,2024-07-23,P003,Chair,Furniture,Kolkata,East,87,5000,435000,Yes,No,2024,7,23,Tuesday,3,3.3219205863629435,1
1251,2024-07-27,P003,Chair,Furniture,Bengaluru,South,94,5000,470000,Yes,No,2024,7,27,Saturday,3,3.7097291594609203,1
1276,2024-07-31,P004,Rice,Grocery,Hyderabad,South,94,60,5640,Yes,No,2024,7,31,Wednesday,3,3.7097291594609203,1
1284,2024-08-01,P006,Mixer,Home Appliances,Bengaluru,South,85,3500,297500,Yes,No,2024,8,1,Thursday,3,3.2111181369063786,1
1309,2024-08-06,P001,Laptop,Electronics,Mumbai,West,93,60000,5580000,Yes,No,2024,8,6,Tuesday,3,3.654327934732638,1
1381,2024-08-18,P001,Laptop,Electronics,Mumbai,West,88,60000,5280000,Yes,No,2024,8,18,Sunday,3,3.377321811091226,1
1388,2024-08-19,P002,Phone,Electronics,Bengaluru,South,93,30000,2790000,Yes,No,2024,8,19,Monday,3,3.654327934732638,1
1463,2024-08-31,P005,Tshirt,Clothing,Kolkata,East,89,800,71200,Yes,No,2024,8,31,Saturday,3,3.432723035819508,1
1486,2024-09-04,P004,Rice,Grocery,Kolkata,East,89,60,5340,Yes,No,2024,9,4,Wednesday,3,3.432723035819508,1
