supplier_id,supplier_name,product_id,delivery_date,expected_date,delay_days,supplier_rating,transportation_cost
S004,Supplier 4,P004,2024-08-02,2024-08-01,1,4.1,597
S001,Supplier 1,P002,2024-02-21,2024-02-21,0,3.2,667
S002,Supplier 2,P005,2024-03-24,2024-03-24,-1,3.2,1528
S001,Supplier 1,P004,2024-02-13,2024-02-13,-1,3.5,1642
S004,Supplier 4,P005,2024-05-09,2024-05-07,2,3,3787
S001,Supplier 1,P004,2024-03-02,2024-03-01,1,4.8,4485
S002,Supplier 2,P006,2025-01-05,2024-12-30,6,3.6,4860
S003,Supplier 3,P003,2024-10-10,2024-10-08,2,3.6,1560
S001,Supplier 1,P002,2024-11-05,2024-11-02,3,3.4,3913
S004,Supplier 4,P001,2024-05-01,2024-04-26,5,4.4,3840
S002,Supplier 2,P001,2024-01-16,2024-01-15,1,3.1,2814
S004,Supplier 4,P006,2024-12-11,2024-12-08,3,4.9,1445
S001,Supplier 1,P002,2024-11-08,2024-11-07,1,4.8,3237
S001,Supplier 1,P001,2024-08-23,2024-08-23,0,3.7,2601
S003,Supplier 3,P002,2024-05-26,2024-05-22,4,4,2465
S004,Supplier 4,P003,2024-07-06,2024-06-30,6,3,714
S001,Supplier 1,P006,2024-04-26,2024-04-26,0,4.2,3778
S004,Supplier 4,P002,2024-01-16,2024-01-14,2,3,2256
S001,Supplier 1,P004,2024-08-17,2024-08-17,-1,4.3,2509
S003,Supplier 3,P006,2024-05-03,2024-05-03,0,4.8,914
S002,Supplier 2,P002,2024-02-12,2024-02-10,2,4.6,1546
S003,Supplier 3,P005,2024-04-24,2024-04-20,4,4,2762
S001,Supplier 1,P003,2025-01-04,2024-12-30,5,4.8,592
S003,Supplier 3,P006,2024-07-26,2024-07-26,-1,3.5,2013
S003,Supplier 3,P006,2024-10-26,2024-10-20,6,4.5,1171
S002,Supplier 2,P006,2024-11-12,2024-11-12,-1,4.4,2646
S003,Supplier 3,P003,2024-01-09,2024-01-05,4,3.9,2714
S004,Supplier 4,P001,2024-11-07,2024-11-03,4,4.8,1028
S002,Supplier 2,P002,2024-06-08,2024-06-08,-1,4.6,929
S001,Supplier 1,P004,2024-02-12,2024-02-12,0,4.8,3538
S003,Supplier 3,P003,2024-03-25,2024-03-25,-1,4,2385
S004,Supplier 4,P002,2024-11-13,2024-11-06,7,4,1058
S002,Supplier 2,P004,2024-06-18,2024-06-15,3,3.1,4186
S002,Supplier 2,P001,2024-10-21,2024-10-21,-1,4,3460
S003,Supplier 3,P001,2024-09-23,2024-09-17,6,4.8,2520
S001,Supplier 1,P005,2024-09-07,2024-09-07,0,4.7,4311
S002,Supplier 2,P001,2024-07-10,2024-07-09,1,3.3,1729
S002,Supplier 2,P005,2024-02-04,2024-02-02,2,4.3,1794
S001,Supplier 1,P002,2024-09-27,2024-09-20,7,3.6,4444
S002,Supplier 2,P004,2024-05-25,2024-05-21,4,3.3,2774
S001,Supplier 1,P003,2024-11-21,2024-11-14,7,4.7,1304
S003,Supplier 3,P005,2024-05-21,2024-05-19,2,4.9,3761
S004,Supplier 4,P002,2024-04-30,2024-04-29,1,3.1,3749
S002,Supplier 2,P003,2024-12-08,2024-12-04,4,3.9,2494
S002,Supplier 2,P004,2024-04-07,2024-04-07,-1,4.7,1194
S001,Supplier 1,P002,2024-10-31,2024-10-25,6,3.2,685
S003,Supplier 3,P003,2024-08-16,2024-08-11,5,3.7,1287
S001,Supplier 1,P006,2024-02-09,2024-02-08,1,3.4,3327
S003,Supplier 3,P005,2024-12-09,2024-12-07,2,3.5,3368
S002,Supplier 2,P002,2024-04-12,2024-04-08,4,3.9,4184
S001,Supplier 1,P004,2024-01-19,2024-01-12,7,3.5,3593
S001,Supplier 1,P005,2024-07-05,2024-06-28,7,4,4407
S002,Supplier 2,P006,2024-11-11,2024-11-11,-1,3.5,3477
S002,Supplier 2,P003,2024-10-26,2024-10-26,0,4.8,4228
S001,Supplier 1,P004,2024-04-06,2024-03-30,7,3.1,996
S004,Supplier 4,P004,2024-01-27,2024-01-27,-1,4.6,4953
S002,Supplier 2,P001,2024-01-22,2024-01-17,5,3.6,2384
S003,Supplier 3,P003,2024-04-01,2024-03-26,6,3.2,2277
S003,Supplier 3,P005,2024-11-01,2024-10-31,1,5,3460
S003,Supplier 3,P005,2024-12-04,2024-11-27,7,3.2,1460
S004,Supplier 4,P002,2024-08-23,2024-08-23,0,3.9,2243
S003,Supplier 3,P002,2024-10-08,2024-10-01,7,3.1,3795
S001,Supplier 1,P003,2024-04-25,2024-04-20,5,3.7,3913
S004,Supplier 4,P001,2024-12-19,2024-12-16,3,4.8,1596
S002,Supplier 2,P006,2024-06-27,2024-06-20,7,3.4,733
S003,Supplier 3,P001,2024-12-14,2024-12-07,7,4.8,3869
S004,Supplier 4,P006,2024-09-19,2024-09-18,1,4.9,1493
S001,Supplier 1,P002,2024-04-23,2024-04-18,5,3.4,1752
S004,Supplier 4,P002,2024-11-18,2024-11-14,4,3.6,1806
S004,Supplier 4,P002,2024-02-09,2024-02-07,2,4.6,3743
S001,Supplier 1,P004,2024-08-21,2024-08-21,-1,4.7,3068
S004,Supplier 4,P002,2024-10-08,2024-10-08,-1,3.7,4710
S002,Supplier 2,P002,2024-09-01,2024-08-26,6,3.2,3654
S001,Supplier 1,P002,2024-11-01,2024-11-01,0,4.4,4498
S004,Supplier 4,P001,2024-08-24,2024-08-24,0,3.5,2828
S002,Supplier 2,P004,2024-11-30,2024-11-29,1,4.1,2007
S004,Supplier 4,P003,2024-12-14,2024-12-09,5,4.2,4462
S001,Supplier 1,P003,2024-05-14,2024-05-12,2,5,901
S003,Supplier 3,P006,2024-08-11,2024-08-04,7,3.7,4607
S003,Supplier 3,P006,2024-07-27,2024-07-27,0,4,2962
S001,Supplier 1,P001,2024-04-24,2024-04-19,5,3.3,2164
S001,Supplier 1,P004,2024-02-07,2024-01-31,7,4.3,4153
S003,Supplier 3,P005,2024-04-24,2024-04-20,4,4.9,4748
S002,Supplier 2,P002,2024-02-23,2024-02-16,7,4,3319
S003,Supplier 3,P006,2024-03-14,2024-03-07,7,4.3,839
S004,Supplier 4,P003,2024-02-01,2024-02-01,0,4.6,2802
S004,Supplier 4,P003,2024-03-08,2024-03-01,7,4,1660
S002,Supplier 2,P002,2024-10-26,2024-10-26,0,3.8,763
S003,Supplier 3,P006,2024-09-27,2024-09-21,6,4.1,4228
S003,Supplier 3,P003,2024-05-18,2024-05-18,0,5,2799
S002,Supplier 2,P002,2024-04-29,2024-04-27,2,3.9,3824
S003,Supplier 3,P001,2024-07-25,2024-07-22,3,4.8,1395
S001,Supplier 1,P002,2024-09-28,2024-09-26,2,4.4,4269
S002,Supplier 2,P003,2024-11-20,2024-11-16,4,3.3,2115
S001,Supplier 1,P004,2024-04-28,2024-04-22,6,4,2941
S004,Supplier 4,P006,2024-01-18,2024-01-15,3,3.3,2250
S002,Supplier 2,P006,2024-04-04,2024-04-01,3,3.9,4404
S002,Supplier 2,P001,2024-09-03,2024-09-02,1,3.6,3263
S003,Supplier 3,P004,2024-01-24,2024-01-17,7,3.8,1898
S003,Supplier 3,P003,2024-02-04,2024-01-29,6,4.2,1875
S002,Supplier 2,P005,2024-02-09,2024-02-03,6,4.1,3616
S001,Supplier 1,P005,2024-06-23,2024-06-20,3,4.3,2261
S001,Supplier 1,P002,2024-04-11,2024-04-11,0,3.3,1223
S001,Supplier 1,P001,2024-06-18,2024-06-13,5,4.4,4845
S004,Supplier 4,P001,2024-08-21,2024-08-20,1,4.8,2430
S003,Supplier 3,P002,2024-11-25,2024-11-25,0,4.3,4692
S002,Supplier 2,P006,2024-01-14,2024-01-12,2,3.3,1867
S003,Supplier 3,P004,2024-10-04,2024-09-29,5,3.1,782
S001,Supplier 1,P005,2024-07-23,2024-07-16,7,3.9,4311
S001,Supplier 1,P006,2024-03-13,2024-03-09,4,3.8,2738
S004,Supplier 4,P001,2024-04-18,2024-04-18,-1,3,2522
S004,Supplier 4,P004,2024-08-31,2024-08-25,6,4.1,3409
S001,Supplier 1,P003,2024-02-18,2024-02-14,4,4.2,1059
S004,Supplier 4,P001,2024-02-06,2024-02-03,3,5,3869
S003,Supplier 3,P001,2024-09-28,2024-09-26,2,4.3,3794
S001,Supplier 1,P002,2024-02-08,2024-02-06,2,3.8,3064
S004,Supplier 4,P005,2024-06-03,2024-05-31,3,3.1,1177
S001,Supplier 1,P004,2024-12-15,2024-12-09,6,4.2,1254
S002,Supplier 2,P003,2024-08-11,2024-08-04,7,3.6,2534
S001,Supplier 1,P001,2024-08-27,2024-08-24,3,3.7,1589
S003,Supplier 3,P002,2024-11-02,2024-10-28,5,3.6,4587
S001,Supplier 1,P006,2024-05-28,2024-05-22,6,3.8,4280
S002,Supplier 2,P005,2024-03-29,2024-03-27,2,3.3,3064
S001,Supplier 1,P005,2024-04-25,2024-04-22,3,4.5,2512
S002,Supplier 2,P001,2024-07-04,2024-06-29,5,3.3,4960
S001,Supplier 1,P003,2024-03-05,2024-03-03,2,4.3,2353
S001,Supplier 1,P003,2024-03-01,2024-02-23,7,4.8,2794
S002,Supplier 2,P005,2024-02-09,2024-02-08,1,3.5,677
S003,Supplier 3,P003,2024-03-20,2024-03-15,5,4.2,1033
S002,Supplier 2,P006,2024-09-08,2024-09-03,5,3.4,763
S001,Supplier 1,P001,2025-01-01,2024-12-30,2,3.5,2550
S002,Supplier 2,P002,2024-10-31,2024-10-31,-1,4.6,1539
S004,Supplier 4,P001,2024-10-03,2024-09-27,6,3.5,1459
S004,Supplier 4,P006,2024-11-11,2024-11-08,3,3.9,4938
S003,Supplier 3,P001,2024-01-16,2024-01-14,2,3.8,838
S003,Supplier 3,P005,2024-05-14,2024-05-09,5,3.5,3712
S001,Supplier 1,P004,2024-10-24,2024-10-17,7,4,2174
S003,Supplier 3,P001,2024-01-03,2024-01-02,1,4.5,2101
S003,Supplier 3,P004,2024-09-06,2024-09-06,-1,3.8,841
S002,Supplier 2,P006,2024-12-07,2024-12-07,-1,3.9,2340
S002,Supplier 2,P001,2024-05-26,2024-05-24,2,4.4,1890
S004,Supplier 4,P002,2024-09-09,2024-09-09,0,4.2,2952
S003,Supplier 3,P002,2024-08-16,2024-08-11,5,3.1,2569
